code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_option_type,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude
SH.600000,N/A,2023-12-06 15:00:00,6.61,6.7,6.71,6.61,6.71,39833177,264013331.0,0.136,False,1999-11-10,100,0.01,,6.62,6.61,5300,1229728,True,0.0,40.0,False,,,,1.49,6.627,73.509,1.397,7.9,6.61,11.76,-3.2181365,6.62,0,0.0,NORMAL,True,29352176396,194017885977.56,603011111879.424,51160843458.228,1.743,29352176396,194017885977.56,20.544,0.064,3.792,0.321,5.015,0.32,4.84,0.0,0.0,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00700,N/A,2023-12-06 16:08:06,311.6,306.6,314.8,302.4,308.8,15896242,4923099459.0,0.167,False,2004-06-16,100,0.2,,311.8,311.6,103100,50200,True,0.0,30.0,True,0.95,5800900.0,30.0,4.016,309.702,13.556,0.787,414.2,282.6,709.500065,-9.80201125,311.6,0,0.0,NORMAL,True,9508311733,2962789936002.8,837501605754.373,210732712938.479,22.163,9508311733,2962789936002.8003,88.081,0.253,14.059,3.537,13.981,20.665,6.63,20.665,6.631,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
