code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,symbol
SZ.002466,N/A,2023-08-30 00:00:00,58.99,59.39,59.94,58.57,3.796,0.01321,19474710,1154048072.58,1.192707445902203,58.69,SZ.002466
SZ.002466,N/A,2023-08-31 00:00:00,57.77,57.57,57.95,56.9,4.666,0.01807,26652258,1526152230.01,-3.0644889712072745,59.39,SZ.002466
SZ.002466,N/A,2023-09-01 00:00:00,57.29,57.47,57.72,57.03,4.657,0.00773,11399602,654449395.47,-0.17370158068438668,57.57,SZ.002466
SZ.002466,N/A,2023-09-04 00:00:00,57.63,59.4,60.33,57.18,4.814,0.02308,34037489,2009431556.07,3.358273882025404,57.47,SZ.002466
SZ.002466,N/A,2023-09-05 00:00:00,58.97,59.66,60.0,58.7,4.835,0.01401,20659464,1226345905.45,0.4377104377104344,59.4,SZ.002466
SZ.002466,N/A,2023-09-06 00:00:00,59.25,59.0,59.33,58.51,4.781,0.01002,14773399,869502831.27,-1.106268856855509,59.66,SZ.002466
SZ.002466,N/A,2023-09-07 00:00:00,58.63,57.3,58.75,57.26,4.644,0.01238,18251080,1054921388.01,-2.8813559322033946,59.0,SZ.002466
SZ.002466,N/A,2023-09-08 00:00:00,57.0,56.03,57.19,55.89,4.541,0.01142,16843093,948277845.9,-2.2164048865619477,57.3,SZ.002466
SZ.002466,N/A,2023-09-11 00:00:00,55.83,57.28,58.31,55.23,4.642,0.01511,22278437,1265353213.95,2.230947706585758,56.03,SZ.002466
SZ.002466,N/A,2023-09-12 00:00:00,57.58,58.63,60.5,57.38,4.751,0.02683,39575542,2337012484.55,2.356843575418997,57.28,SZ.002466
SZ.002466,N/A,2023-09-13 00:00:00,58.3,57.75,59.01,57.45,4.68,0.01148,16930340,984040975.13,-1.5009380863039443,58.63,SZ.002466
SZ.002466,N/A,2023-09-14 00:00:00,57.8,56.85,58.03,56.7,4.607,0.0101,14901450,850837704.95,-1.558441558441556,57.75,SZ.002466
SZ.002466,N/A,2023-09-15 00:00:00,57.09,56.1,57.25,55.82,4.546,0.01217,17949215,1009587921.87,-1.3192612137203166,56.85,SZ.002466
SZ.002466,N/A,2023-09-18 00:00:00,55.92,57.66,58.58,55.56,4.673,0.01812,26724605,1535151758.93,2.780748663101596,56.1,SZ.002466
SZ.002466,N/A,2023-09-19 00:00:00,57.1,56.33,57.35,56.12,4.565,0.01055,15559998,880857727.92,-2.3066250433576108,57.66,SZ.002466
SZ.002466,N/A,2023-09-20 00:00:00,56.0,55.31,56.26,54.78,4.482,0.01091,16083282,892764461.6,-1.8107580330196982,56.33,SZ.002466
SZ.002466,N/A,2023-09-21 00:00:00,55.01,54.5,55.58,54.2,4.417,0.0117,17252683,944228497.27,-1.4644729705297455,55.31,SZ.002466
SZ.002466,N/A,2023-09-22 00:00:00,54.75,55.85,56.14,54.5,4.526,0.01575,23233381,1286594077.13,2.4770642201834887,54.5,SZ.002466
SZ.002466,N/A,2023-09-25 00:00:00,55.47,55.15,55.65,54.73,4.469,0.00966,14251888,785344442.05,-1.2533572068039442,55.85,SZ.002466
SZ.002466,N/A,2023-09-26 00:00:00,55.07,54.01,55.28,54.0,4.377,0.01154,17024580,925203928.91,-2.0670897552130563,55.15,SZ.002466
SZ.002466,N/A,2023-09-27 00:00:00,53.66,54.61,55.66,53.38,4.426,0.01589,23434714,1280718777.95,1.1109053878911341,54.01,SZ.002466
SZ.002466,N/A,2023-09-28 00:00:00,54.62,54.93,56.23,54.62,4.452,0.01517,22365430,1237737960.7,0.5859732649697863,54.61,SZ.002466
SZ.002466,N/A,2023-10-09 00:00:00,54.3,54.16,54.48,53.31,4.389,0.01531,22583413,1215842114.53,-1.4017840888403479,54.93,SZ.002466
SZ.002466,N/A,2023-10-10 00:00:00,54.25,55.88,56.76,54.24,4.529,0.02649,39062011,2183139532.52,3.1757754800590954,54.16,SZ.002466
SZ.002466,N/A,2023-10-11 00:00:00,55.91,55.41,56.28,55.25,4.491,0.01425,21022412,1171316505.31,-0.8410880458124659,55.88,SZ.002466
SZ.002466,N/A,2023-10-12 00:00:00,56.4,59.28,59.63,56.07,4.804,0.0477,70340096,4082732758.31,6.984298863021124,55.41,SZ.002466
SZ.002466,N/A,2023-10-13 00:00:00,58.85,58.05,59.02,57.56,4.704,0.02433,35879737,2091211876.81,-2.0748987854251078,59.28,SZ.002466
SZ.002466,N/A,2023-10-16 00:00:00,58.29,55.82,58.29,55.6,4.524,0.01829,26976240,1523549532.72,-3.841515934539185,58.05,SZ.002466
SZ.002466,N/A,2023-10-17 00:00:00,55.82,55.9,56.44,55.38,4.53,0.01538,22676456,1268639411.45,0.14331780723754622,55.82,SZ.002466
SZ.002466,N/A,2023-10-18 00:00:00,55.55,54.26,55.55,54.11,4.397,0.01392,20527177,1121808236.7,-2.933810375670842,55.9,SZ.002466
SZ.002466,N/A,2023-10-19 00:00:00,53.5,52.7,54.52,52.69,4.271,0.01763,25993350,1387854741.09,-2.8750460744563124,54.26,SZ.002466
SZ.002466,N/A,2023-10-20 00:00:00,52.16,54.73,56.0,52.0,4.435,0.02967,43756852,2385020684.56,3.8519924098671607,52.7,SZ.002466
SZ.002466,N/A,2023-10-23 00:00:00,54.21,52.58,54.4,52.2,4.261,0.0165,24332644,1288559058.79,-3.9283756623424058,54.73,SZ.002466
